,k1,L1,k2,L2,k3,L3,rho1,rho2,rho3,rho4
311,1,11,1,1,4,12,-0.0,0.0,-0.0,0.0
312,2,11,1,1,4,12,-0.0,-0.00127639,-0.0003964,0.00034123
313,3,11,1,1,4,12,0.03532457,0.00524509,0.01339545,0.03125571
314,4,11,1,1,4,12,-0.08189885,0.03659503,0.09009048,-0.03221271
315,1,11,1,1,5,12,0.0,-0.0,0.0,-0.0
316,2,11,1,1,5,12,0.0,-0.0,0.0,-0.0
317,3,11,1,1,5,12,0.0,-0.00105747,-0.00116383,-0.00030655
318,4,11,1,1,5,12,0.04612974,0.0239987,-0.02587819,-0.01585308
319,1,12,1,1,1,11,0.0020244,0.00159722,0.00096525,-0.00554659
320,2,12,1,1,1,11,0.0152007,-0.03960955,-0.00884143,0.00254967
321,3,12,1,1,1,11,7.22e-06,-0.00065748,0.00082011,0.00052716
322,1,12,1,1,2,11,0.02657194,-0.00995803,0.01242722,0.00540053
323,2,12,1,1,2,11,0.00140941,-0.00564505,-0.00153269,-0.01034064
324,3,12,1,1,2,11,0.00851051,-0.03098451,-0.01205045,0.04374557
325,1,12,1,1,3,11,-0.0,-0.00077721,-0.00024138,0.00020778
326,2,12,1,1,3,11,0.02494487,0.00377576,0.00533497,0.01645755
327,3,12,1,1,3,11,0.00140402,-0.01216977,-0.00206048,0.01864636
328,1,12,1,1,4,11,0.0,-0.0,0.0,0.0
329,2,12,1,1,4,11,0.0,-0.00041727,-0.00045924,-0.00012096
330,3,12,1,1,4,11,0.01982589,0.01181801,-0.00801198,-0.00535116
331,1,12,1,1,1,12,0.03040554,-0.05474696,-0.00061676,-0.0452025
332,2,12,1,1,1,12,1.08e-06,-0.00191577,0.0018877,0.00023224
333,3,12,1,1,1,12,-6e-08,-2.24e-06,1.809e-05,-2.42e-06
334,1,12,1,1,2,12,-0.01843068,-0.01669746,-0.00867533,-0.05376194
335,2,12,1,1,2,12,0.01259802,-0.0349219,-0.0104997,0.00278519
336,3,12,1,1,2,12,-1.62e-06,-0.00061915,0.00080795,0.00054882
337,1,12,1,1,3,12,-0.04112997,0.0150068,-0.02086811,-0.00895256
338,2,12,1,1,3,12,-0.03103877,-0.02374866,0.00618654,-0.03916348
339,3,12,1,1,3,12,0.00556226,-0.02236941,-0.01119153,0.03840721
340,1,12,1,1,4,12,0.0,0.001632,0.00050684,-0.0004363
341,2,12,1,1,4,12,-0.04795313,-0.0075681,-0.01091501,-0.03317996
342,3,12,1,1,4,12,-0.03595131,-0.01671807,0.05071834,0.04471009
343,1,12,1,1,5,12,-0.0,0.0,-0.0,0.0
344,2,12,1,1,5,12,-0.0,0.00113152,0.00124533,0.00032801
345,3,12,1,1,5,12,-0.04982359,-0.03004028,0.02062424,0.01395899
346,1,12,1,1,1,13,-0.13293771,0.01328538,-0.05359123,0.01397664
347,2,12,1,1,1,13,0.0024268,-0.00897231,-0.00813704,0.00198918
348,3,12,1,1,1,13,-1.009e-05,-0.00024853,0.00034631,0.00028136
349,1,12,1,1,2,13,0.02474763,-0.006941,0.02147208,0.0069659
